id_interno,id_manz,od_f,choice,av_car,av_bus,av_motocarro,tt_car,tt_bus,tt_motocarro,exp_pm25_car,exp_pm25_bus,exp_pm25_motocarro,exp_bc_car,exp_bc_bus,exp_bc_motocarro,age_18_30,age_31_45,age_46_55,age_56_70,age_70plus,female,male,trans,mestizo,afrodesc,blanco,indigena,raizal,no_grupo_etnico,str1,str2,str3,income_lvl,disability,student,formaljob,informaljob,selfemply,vueltas,no_education,primaria,secundaria,posgrado,tech,pregrado,own_formalhouse,own_informalhouse,rent_formalhouse,rent_informalhouse,family_home,head_household
P29,M0875810000000000130407,4_5,2,1,1,1,5,0,0,7.765,0,0,5.863,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
P30,M0875810000000000090538,5_7,3,0,1,1,0,0,30,0,0,12.033,0,0,5.218,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
P31,M0875810000000000210433,mean_bus,9,1,1,1,0,15,0,0,59.37,0,0,32.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
P34,M0875810000000000050405,mean_motocarro,3,0,1,1,0,0,30,0,0,23.66,0,0,7.99,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
P36,M0875810000000000050402,mean_motocarro,3,0,1,1,0,0,30,0,0,38.89,0,0,12.6,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
P37,M0800110000000020010602,mean_bus,9,0,1,1,0,60,0,0,21.7,0,0,7.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
P39,M0875810000000000050508,5_7,3,0,1,1,0,0,60,0,0,12.033,0,0,5.218,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
P41,M0875810000000000060202,4_7,3,0,1,1,0,0,20,0,0,36.161,0,0,6.958,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
P44,M0875810000000000210914,4_5,2,1,1,1,25,0,0,7.765,0,0,5.863,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
P50,M0875810000000000240603,mean_car,2,1,1,1,15,0,0,10.48,0,0,5.19,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
P51,M0875810000000000240710,mean_bus,9,0,1,1,0,30,0,0,21.7,0,0,7.75,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
P52,M0875810000000000180516,mean_bus,9,0,1,1,0,30,0,0,21.7,0,0,7.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
